Tarih,KT1,KT2,KT3,KT4,KT5,KT6,KT7,KT8,KT9,KT10,KT11,KT12,KT13,KT14,KT15,KT16,KT17,KT18,KT19,KT20
22.01.2021,23320229,42726,1209415,1725948,571450,1857487,1470984,360438,1398984,179210,3774,444407,5070314,658609,989276,489087,543023,565829,1029591,1495488
29.01.2021,25588348,44040,1278989,1774728,776815,1813582,1446622,333187,1452267,202415,3220,551690,5088429,730171,942669,503164,476037,587230,2267385,1733586
5.02.2021,24963390,49040,1318906,1788472,572882,1895449,1626142,338146,1475315,199011,3718,742148,5175597,694401,935109,509814,583283,632754,1356131,1692774
12.02.2021,24416523,59996,1382465,1834544,644750,1997468,1606305,330015,1554408,204549,4112,828015,5338458,734129,992459,452957,655946,637758,638182,1184982
19.02.2021,23633646,44207,1236801,1765444,677254,1880092,1398852,343497,1497524,191310,3836,608565,5293300,679120,1021937,417154,607721,597257,1008387,1212402
26.02.2021,25949603,48719,1405200,1819748,907693,1926504,1455239,363974,1533492,197548,4769,519922,5353988,791401,1063209,414249,612694,653870,1827014,1235938
5.03.2021,27041879,54009,1478977,1932666,718406,1915529,1466870,452652,1748013,214338,6505,503629,5362169,790935,1036284,429010,640820,752066,2121073,1513572
12.03.2021,27044495,70482,1572780,2004598,639930,2271160,1865083,467287,1703956,227624,9979,496587,5649078,911981,1095516,443307,731416,963709,615850,1511559
19.03.2021,26379218,62759,1511185,1955364,625690,2092748,1717950,513905,1651973,236348,12298,462300,5552919,936010,1216023,418836,665859,992103,781413,1194626
26.03.2021,26191383,64460,1466225,1903500,640840,2137213,1616524,508025,1575021,234567,11024,366702,5544991,899849,1136447,416260,645864,958092,1302789,1021768
2.04.2021,29706578,61503,1569108,1920052,856047,2132149,1648587,504588,1827065,258393,10691,336820,5787343,1075974,1175961,452790,625343,1018421,2901376,1109866
9.04.2021,25315808,69280,1497591,1959405,476491,2131200,1513637,449912,1578042,256628,9914,298337,5869315,828951,1114745,440926,695749,941190,534397,1084953
16.04.2021,24861173,52348,1429582,2065059,464855,2025865,1263298,384170,1579331,204461,5034,232858,6138963,805055,1182256,400075,644053,721928,524033,1124802
23.04.2021,22577956,43111,1320050,1790495,408663,1984476,1221975,388821,1385989,172875,2412,203041,5558021,719420,1060402,360081,569797,552377,531937,1056330
30.04.2021,28198649,49271,1512346,2143013,516615,2448440,1650859,402857,1767083,182757,3648,285077,6559845,973081,1141867,430476,641189,614506,1105576,1366851
7.05.2021,20657532,31932,1184002,1749954,234673,2213459,836623,425811,1445777,144760,2503,97567,5510141,353861,843516,320970,418509,501188,477536,1131684
14.05.2021,18222545,38274,1071425,1895910,187600,1698708,671196,433499,1191183,136888,3049,55808,5408561,233879,661051,295693,348709,558433,326290,963781
21.05.2021,29160223,68892,1653541,2192892,532358,2532242,2266642,644711,1829527,237552,5107,358736,6057970,1134023,1193425,567057,808133,786403,897206,1136309
28.05.2021,31497968,70602,1814472,2124790,609244,2400736,2109884,770606,1783605,332682,5298,399614,6333129,1155305,1215438,723659,626063,827159,2041554,1416625
4.06.2021,32528219,80450,1812521,2177765,631880,2383057,2107370,959228,1947420,357892,11917,370273,6271711,1096558,1159005,784722,640935,1049995,2242939,1406528
11.06.2021,31793453,100312,1963293,2311036,620175,2343815,2554551,1108367,1774033,412218,22839,409421,6345978,1143960,1227550,872276,699578,1364046,602963,1173287
18.06.2021,32092761,97778,1964280,2284219,659038,2349547,2603257,1147195,1807617,470389,20668,438784,6400146,1143791,1311075,894190,649324,1398600,603227,1166796
25.06.2021,31873387,99506,1991195,2248643,686378,2361538,2559676,1195169,1721903,537074,23344,434752,6205569,1065067,1228431,953896,624834,1458042,695906,1213900
2.07.2021,35373501,128579,2174448,2292669,934437,2593189,2587713,1166987,1943685,636896,28226,434058,6463350,1204484,1262430,1044873,580546,1532458,1286086,1406987
9.07.2021,34781911,133327,2259439,2305945,719753,2539044,2969404,1183764,1767438,750735,50103,498453,6550120,1140283,1216075,1106841,689605,1808324,979554,1206789
16.07.2021,36852930,131952,2425742,2542473,652578,2537071,3367342,1098887,1881329,855584,57544,572834,6897363,1211190,1300525,1085513,708533,1951554,1025119,1213067
23.07.2021,25900380,104226,2190851,1997948,365558,1594313,2715324,911092,1082254,962377,64482,380784,5442452,726494,758119,731943,385780,1811180,449655,582286
30.07.2021,36962241,125814,2374144,2499354,739838,2337112,2124149,975146,1943350,924932,53714,510167,6637550,1083071,1285564,940936,803865,1771731,3446182,1222738
6.08.2021,34728058,126582,2318190,2289459,717203,2391932,2145916,979063,1943475,855281,52238,539524,6486204,1121526,1235932,836465,683611,1795658,1964875,1226404
13.08.2021,33463678,130787,2233361,2322392,846745,2435405,2266707,1003974,1975346,863121,57811,559704,6537818,1087534,1280404,884746,730497,1884276,753764,1047051
20.08.2021,34949449,116199,2262833,2373963,1118925,2557683,2298096,951589,1932771,885903,58357,584391,6780690,1099421,1386084,968319,701264,1930716,1148554,1158476
27.08.2021,34332951,112472,2226440,2316689,1401899,2431836,2302937,892054,1858624,843261,57765,605607,6488605,1052551,1262653,950896,677587,1903200,1205596,1188979
3.09.2021,34957247,111754,2239032,2362603,1746995,2468937,2376127,879513,1956736,795436,56426,568769,6589202,1088959,1201926,846773,661732,1923202,958676,1312011
10.09.2021,35625185.5,118200,2193154,2380472,2636855,2639737,2686718,839080,1915086,642586,51750,490553,6830876,1069214,1269375,734858,738594,1818340,743127,1189520
17.09.2021,35050825,107766,2189473,2425062,1620222,2624053,2636011,829537,2073831,594767,52555,523218,6784247,1100361,1430702,682292,699686,1836316,779613,1212485
24.09.2021,35128434,97153,2171716,2408668,1228791,3009977,2672280,986577,1956427,589599,50111,607397,6805230,1082923,1349588,667719,638027,1822874,974735,1405848
1.10.2021,37687769,98501,2228125,2458988,1119750,2694185,2663370,966768,2223184,543884,47696,508383,6713171,1215622,1319415,667379,643314,1820583,2527493,1582541
8.10.2021,35475147,104751,2281539,2466431,949302,2654461,2890817,1016131,2114085,529749,50293,520131,6951243,1144549,1295742,674882,679273,1844357,809081,1505747
